id,ccr_codigo,amostra,substrato,cidade,uf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
295,UFT.2014(L)7973,ANA.TAQ.001.035,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,,+,+,-,w,+,+,w,w,-,,+,-,+,w,+,+,+,+,w,w,+,+,-,-,w,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
296,UFT.2014(L)7974,ANA.TAQ.001.035,Fruto de Buriti,Palmas,TO,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,,-,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,,,,-,+,+,-,,,+,+,+,+,-,,-,+,,,,,
297,UFT.2014(L)6591,ANA.CAN.001.034,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,w,w,-,,+,-,+,+,+,+,+,+,+,w,+,+,-,-,+,+,-,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,+,+,+,-
298,UFT.2014(L)6720,ANA.CAN.001.034,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,w,w,-,,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,+,-,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
299,UFT.2014(L)6745,ANA.CAN.001.035,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,-,+,+,-,-,+,+,+,+,-,+,+,-,+,w,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,+,+,-
300,UFT.2014(L)6753,ANA.CAN.001.035,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,w,-,+,,-,+,+,+,-,-,-,+,-,+,+,,+,w,+,+,+,+,+,+,w,-,-,-,-,-,,,+,+,,,-,-,+,+,-,,+,+,,,,,
301,UFT.2014(L)7019,ANA.CAN.001.036,Fruto de Buriti,Pium,TO,,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
302,UFT.2014(L)7249,ANA.TAG.001.018,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
303,UFT.2014(L)7258,ANA.TAG.001.018,Fruto de Buriti,Taguatinga,TO,,w,+,+,+,+,+,+,-,-,+,-,-,w,+,+,+,+,,+,+,+,+,+,w,-,w,+,-,+,-,+,-,-,-,,,,+,-,-,+,,,+,+,+,+,-,,-,-,,,,,
304,UFT.2014(L)7733,ANA.TAQ.001.036,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,-,-,+,-,-,+,w,-,-,-,,+,-,+,w,+,+,+,+,+,w,+,+,-,-,-,+,-,-,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
305,UFT.2014(L)7734,ANA.TAQ.001.036,Fruto de Buriti,Palmas,TO,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,w,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,-,-,+,+
