id,ano,ccr,amostra,coleta,latitude,longitude,data_coleta,localidade,equipe,substrato,nome_cientifico,cidade,uf,ccr_codigo,microorganismo,instituicao,fermentacao,temperatura,outros,infogenetica
43,2015,8542,JHF.BA.008.003,JHF.BA.008,-14.718.548,-52.361.735,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8542,L,UFT,0,0,0,1
44,2015,8543,JHF.PB.003.001,JHF.PB.003,-14.688.268,-52.341.863,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8543,L,UFT,0,0,0,1
45,2015,8544,JHF.PB.004.001,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8544,L,UFT,0,0,0,1
46,2015,8545,JHF.PB.004.001,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8545,L,UFT,0,0,0,1
47,2015,8546,JHF.PB.004.002,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8546,L,UFT,0,0,0,1
48,2015,8547,JHF.PB.004.002,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8547,L,UFT,0,0,0,1
49,2015,8548,JHF.PB.004.003,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8548,L,UFT,0,0,0,1
50,2015,8549,JHF.PB.004.004,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8549,L,UFT,0,0,0,1
51,2015,8550,JHF.PB.001.001,JHF.PB.001,-14.688.213,-52.341.981,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8550,L,UFT,0,0,0,1
52,2015,8551,JHF.PB.001.002,JHF.PB.001,-14.688.213,-52.341.981,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8551,L,UFT,0,0,0,1
53,2015,8552,JHF.PB.001.002,JHF.PB.001,-14.688.213,-52.341.981,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8552,L,UFT,0,0,0,0
54,2015,8553,JHF.BA.001.003,JHF.BA.001,-14.717.639,-52.363.527,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8553,L,UFT,0,0,0,1
55,2015,8554,JHF.BA.003.001,JHF.BA.003,-14.716.787,-52.364.523,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8554,L,UFT,0,0,0,1
56,2015,8555,JHF.BA.003.001,JHF.BA.003,-14.716.787,-52.364.523,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8555,L,UFT,0,0,0,1
57,2015,8556,JHF.BA.003.002,JHF.BA.003,-14.716.787,-52.364.523,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8556,L,UFT,0,0,0,0
58,2015,8557,JHF.BA.006.001,JHF.BA.006,-14.718.401,-52.361.959,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8557,L,UFT,0,0,0,1
59,2015,8558,JHF.BA.001.001,JHF.BA.001,-14.717.639,-52.363.527,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8558,L,UFT,0,0,0,1
60,2015,8559,JHF.BA.001.001,JHF.BA.001,-14.717.639,-52.363.527,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8559,L,UFT,0,0,0,1
