,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
UFT.2014(L)7554,,-,-,-,,w,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,+,w,-,+,-,-,-,-,-,-,-,-,-,-,+,-,,,-,-,+,+,+,-,-,-,-,+,+,-,-
UFT.2014(L)7555,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,+,+,+,+,+
UFT.2014(L)7556,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,-,+,-,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
UFT.2014(L)7557,,,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,,,,-,-,-,-,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7558,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7587,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,+,w,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,-,-,+,+,+,-
UFT.2014(L)7588,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,w,-,-
UFT.2014(L)7589,,+,-,+,+,+,+,+,-,-,+,-,-,+,-,-,-,+,,-,-,+,-,+,+,-,+,+,-,+,+,w,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
UFT.2014(L)7590,,+,+,+,+,+,+,-,w,-,+,,-,+,+,+,-,-,-,+,-,+,w,,+,w,+,+,-,+,+,+,w,w,-,-,-,-,-,,+,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
UFT.2014(L)7719,,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,+,-,-,
UFT.2014(L)7720,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,+,+,w,-,+,-,-,-,-,-,w,+,-,+,,,-,-,+,+,+,-,-,-,+,-,-,-,-
UFT.2014(L)7724,,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,+,+,-,-
UFT.2014(L)7725,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,+,+,,,-,-,,,,,,,,,,,
UFT.2014(L)7726,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,-,+,+,-,+,+,-,-,-,-,+,+,+,+,,,+,-,+,+,-,-,+,+,+,+,+,+,-
UFT.2014(L)7729,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7730,,+,+,+,+,+,+,-,,+,+,-,w,+,+,w,w,-,,+,-,+,+,+,+,+,+,w,+,+,+,-,-,+,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
UFT.2014(L)7733,,+,+,+,+,+,+,-,-,-,+,-,-,+,w,-,-,-,,+,-,+,w,+,+,+,+,+,w,+,+,-,-,-,+,-,-,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
UFT.2014(L)7734,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,w,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,-,-,+,+
UFT.2014(L)7735,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,w,+,+,+,+,-,-,-,-,-,-,,,-,-,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7737,,+,+,+,+,+,+,-,-,w,+,-,-,+,+,-,+,-,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,w,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,-,-,+,-,-,-
UFT.2014(L)7738,,+,+,+,+,+,+,-,-,-,+,w,-,+,w,-,-,-,,+,-,+,w,+,+,+,+,+,w,+,+,-,-,w,+,-,-,-,+,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
UFT.2014(L)7739,,+,+,+,+,+,+,-,w,+,+,,-,+,+,+,w,-,-,+,-,+,+,,+,+,+,+,-,+,+,+,w,+,-,-,-,-,,,+,+,,,-,-,+,+,-,,+,-,,,,,
UFT.2014(L)7742,,+,+,+,+,+,+,-,w,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7743,,+,+,+,+,+,+,-,w,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7744,,+,+,+,,+,+,-,-,+,+,,+,+,+,w,-,-,-,+,-,+,-,,+,-,+,w,-,+,+,-,-,-,-,-,-,-,-,+,+,+,,,-,-,+,+,+,,+,+,,,,,
UFT.2014(L)7747,,+,+,+,+,+,+,+,-,-,+,-,-,+,-,-,-,+,,+,+,+,-,+,+,-,+,+,-,+,+,w,-,-,-,,,,w,+,-,+,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7748,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,+,-,+,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,+
UFT.2014(L)7749,,+,+,+,+,+,-,-,-,-,+,-,-,+,+,w,w,-,,+,-,+,w,+,+,-,w,w,-,+,+,-,-,-,-,,,,-,+,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)7750,,-,-,-,,+,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,,,+,-,+,+,+,,-,-,,,,,
UFT.2014(L)7751,,+,+,+,+,+,+,-,w,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7752,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7756,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7760,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7761,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7764,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7765,,+,+,+,+,+,+,-,w,+,+,-,-,+,+,+,-,-,+,+,-,+,-,+,+,+,+,+,+,+,+,-,+,+,+,-,-,-,+,+,+,+,,,-,-,+,+,+,-,+,-,+,+,+,-,+
UFT.2014(L)7766,,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,+,+,-,-
UFT.2014(L)7767,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7768,,+,+,+,+,+,+,-,+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7769,,-,-,-,+,-,-,-,-,+,-,-,+,+,+,+,+,-,+,+,+,+,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,-,+,+,+,,,+,+,+,+,+,-,-,-,+,-,w,+,+
UFT.2014(L)7770,,+,+,-,+,+,+,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7771,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7772,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7773,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7774,,+,+,+,+,+,+,-,-,+,+,-,-,+,+,+,+,-,+,+,+,+,,+,+,,+,+,+,+,+,-,-,+,+,-,-,-,-,-,+,+,,,+,+,+,+,+,-,+,+,+,+,+,+,-
UFT.2014(L)7775,,-,+,-,w,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7776,,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,+,+,-,+
UFT.2014(L)7777,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,+,+,+,-,+,-,+,-,-,-,-,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,-,-
UFT.2014(L)7778,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7779,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,w,-,+,-,-,-,+,-,+,+,+,+,+,w,+,+,-,-,+,+,-,-,-,-,+,-,+,,,-,-,+,+,-,-,+,-,+,-,+,-,-
UFT.2014(L)7780,,-,+,-,w,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7781,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7782,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,+,-,-,+,+,-,+,+,+,+,+,+,+,+,-,+,-,+,-,+,-,+,+,+,+,,,+,+,+,+,-,-,-,+,+,-,+,-,+
UFT.2014(L)7783,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7784,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7785,,-,+,-,+,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7786,,-,-,-,-,+,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7787,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7788,,+,w,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7789,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7798,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7799,,+,-,+,+,+,+,-,-,+,+,-,-,+,-,,-,+,+,-,-,+,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,+,-,+,-,-,+,+,-,
UFT.2014(L)7800,,+,-,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7801,,+,-,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7802,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,
UFT.2014(L)7803,,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,w,-,-,,-,-,,w,+,+,+,+,-,-,-,+,-,+,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)7804,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+,+,+,,,+,+,+,+,-,-,-,-,-,-,+,,
UFT.2014(L)7805,,+,+,+,,+,+,-,+,+,+,,-,+,+,-,-,-,-,+,w,+,-,,+,-,+,+,+,+,+,+,-,-,-,-,-,-,-,+,+,+,,,+,-,+,+,+,,+,+,,,,,
UFT.2014(L)7806,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,+
UFT.2014(L)7807,,+,+,+,+,+,+,-,w,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7808,,+,+,+,+,+,+,-,-,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7809,,+,+,+,+,+,+,-,+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7811,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7812,,+,+,+,+,+,+,-,w,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7813,,+,+,+,-,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7817,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7818,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
UFT.2014(L)7818b,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7819,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7821,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7823,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,+,-,+,-,+,+,+,-,+,+,+,+,+,+,+,+,-,-,-,-,-,+,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,-,+
UFT.2014(L)7824,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,+,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,-,-
UFT.2014(L)7825,,+,+,+,+,+,+,w,+,+,+,-,-,+,+,w,-,w,,+,-,+,+,+,+,+,+,w,-,+,+,-,-,w,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
UFT.2014(L)7826,,+,-,+,+,+,+,-,-,+,+,+,-,+,+,-,+,+,+,+,-,+,-,+,+,+,-,+,-,+,+,-,-,+,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,+,+,+,+
UFT.2014(L)7827,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,+,+,-,-,-,+,+,-,+,,,-,-,+,+,-,,-,,,,,,
UFT.2014(L)7832,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7833,,+,-,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7834,,-,+,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7835,,+,+,+,+,+,+,-,+,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,-,+,+,-,+,+,-,-,+,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
UFT.2014(L)7836,,+,-,+,-,+,+,-,-,-,+,-,-,+,+,-,+,-,-,+,+,+,-,+,+,+,+,+,+,+,+,-,+,-,+,-,-,-,+,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,+,+
UFT.2014(L)7837,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7838,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7839,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7840,,+,+,+,+,+,+,-,+,-,+,,-,+,+,+,-,-,-,+,-,+,-,,+,w,+,+,-,+,+,+,w,w,-,-,-,-,-,,+,+,,,,,,,,,,,,,,,
UFT.2014(L)7841,,-,+,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7842,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,,-,+,+,+,+,+,,+,+,-,-,+,+,-,-,-,+,+,-,+,,,-,-,+,+,-,-,+,-,+,-,+,-,-
UFT.2014(L)7843,,+,-,+,+,+,+,-,-,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7844,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
UFT.2014(L)7845,,+,-,+,+,+,-,-,-,-,+,-,-,+,+,w,-,-,,+,+,+,+,+,+,-,w,+,+,+,+,-,-,-,-,,,,+,+,+,+,,,+,+,+,+,-,,+,+,,,,,
UFT.2014(L)7846,,-,-,-,,-,-,-,-,+,-,,-,-,-,-,-,-,-,+,-,-,-,,+,-,+,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,,,+,-,+,+,+,,-,-,,,,,
UFT.2014(L)7847,,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,-,,-,,,,,,
UFT.2014(L)7848,,+,+,+,-,+,+,-,-,-,+,-,-,+,+,-,-,-,-,+,-,,-,+,+,+,+,+,,+,+,-,-,+,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
UFT.2014(L)7849,,+,w,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+,+,+,+,+,+,+,-,+,+,+,-,-,+,-,-,-,-,+,+,+,,,-,-,+,+,-,-,+,-,+,-,+,+,-
UFT.2014(L)7850,,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,-,+,+,-,-,-,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,+
UFT.2014(L)7851,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+,-,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,-,+,-,+,,,-,-,+,+,-,-,+,-,+,+,+,-,+
UFT.2014(L)7852,,-,-,-,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,+
UFT.2014(L)7853,,-,-,-,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,+,+
UFT.2014(L)7854,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,-,,+,+,+,+,+,+,,+,+,-,-,+,+,-,-,-,+,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,-,-
UFT.2014(L)7855,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,+,-,-,+,-,-
UFT.2014(L)7856,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,-,-
UFT.2014(L)7857,,-,+,-,w,-,-,-,-,w,-,,-,+,-,w,-,-,-,+,-,-,-,,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,,-,-,,,-,-,+,+,+,-,-,-,+,+,+,-,-
UFT.2014(L)7858,,+,+,+,+,+,-,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,+,+,+,+,+,+,-,+,-,-,-,-,+,-,+,-,+,+,-,+,,,-,-,+,+,-,-,-,+,+,-,+,-,+
UFT.2014(L)7859,,-,-,-,-,+,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,,+,-,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7860,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,+,+,-,+,,,-,-,+,+,+,-,-,-,-,+,+,-,-
UFT.2014(L)7861,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+,-,+,+,-,+,-,-,+,+,-,-,-,+,-,-,-,+,+,-,+,,,-,-,+,+,+,-,-,-,-,+,+,-,-
UFT.2014(L)7862,,-,-,-,-,+,-,-,-,-,-,-,+,-,-,w,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,,,-,-,+,+,+,-,-,-,-,+,+,-,-
UFT.2014(L)7864,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7865,,+,+,+,-,+,+,-,-,-,+,-,-,+,+,-,-,-,-,+,-,,+,+,+,+,+,+,,+,+,-,-,+,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7867,,+,+,+,+,+,+,-,w,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7868,,+,+,+,+,+,+,w,-,-,+,-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7869,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7870,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,-,,-,,,,,,
UFT.2014(L)7871,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,+,+,-,-
UFT.2014(L)7872,,w,-,w,+,-,-,+,-,-,-,-,-,+,+,-,+,-,,-,+,w,-,-,-,-,-,-,-,-,-,w,-,-,-,,,,-,w,-,+,,,-,-,+,+,-,,+,-,,,,,
UFT.2014(L)7873,,+,+,+,,+,+,-,+,w,+,,w,+,+,w,-,-,-,+,-,+,w,,+,-,+,w,-,+,+,-,-,-,-,-,-,-,-,+,+,+,,,+,-,+,+,+,,+,+,,,,,
UFT.2014(L)7876,,-,+,-,-,-,-,-,-,-,-,,-,+,-,-,-,-,-,+,-,-,-,,-,-,-,w,+,+,+,+,-,-,-,-,-,-,-,,-,-,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7877,,+,+,+,,+,+,-,-,-,+,,-,+,-,-,-,-,-,+,w,+,-,,+,-,+,+,+,+,+,+,-,-,-,-,-,-,-,+,-,+,,,+,-,+,+,+,,-,-,,,,,
UFT.2014(L)7878,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7880,,-,+,-,,-,-,-,-,-,-,,-,w,-,-,-,+,-,w,-,-,-,,-,-,+,-,-,+,w,-,-,-,-,-,-,-,-,w,-,+,,,-,-,+,+,+,,-,-,,,,,
UFT.2014(L)7881,,+,+,+,,+,+,w,-,w,+,,-,+,+,+,+,-,-,+,w,+,+,,+,-,-,+,-,+,+,+,-,-,-,-,-,-,+,w,-,+,,,+,+,+,+,+,,+,-,,,,,
UFT.2014(L)7882,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,w,w,-,,+,-,+,+,+,+,+,+,+,w,+,+,-,-,+,+,-,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,+,-,+,-
