id,ccr_codigo,coleta,amostra,latitude,longitude,cidade,localidade,data_coleta,ano,equipe,substrato,nome_cientifico,uf,fermentacao,temperatura,outros,infogenetica
82,UFT.2014(L)6555,ANA.CAN.001,ANA.CAN.001.001,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
83,UFT.2014(L)6817,ANA.CAN.001,ANA.CAN.001.001,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
84,UFT.2014(L)6948,ANA.CAN.001,ANA.CAN.001.001,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
85,UFT.2014(L)6648,ANA.CAN.001,ANA.CAN.001.002,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
86,UFT.2014(L)6650,ANA.CAN.001,ANA.CAN.001.002,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
87,UFT.2014(L)7799,ANA.CAN.001,ANA.CAN.001.002,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
88,UFT.2014(L)7943,ANA.CAN.001,ANA.CAN.001.002,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,,,,1
89,UFT.2014(L)7945,ANA.CAN.001,ANA.CAN.001.002,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
101,UFT.2014(L)6556,ANA.CAN.001,ANA.CAN.001.003,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,,1,
102,UFT.2014(L)6891,ANA.CAN.001,ANA.CAN.001.004,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
103,UFT.2014(L)7774,ANA.CAN.001,ANA.CAN.001.004,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
104,UFT.2014(L)7777,ANA.CAN.001,ANA.CAN.001.004,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
105,UFT.2014(L)7833,ANA.CAN.001,ANA.CAN.001.004,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,,,1,
106,UFT.2014(L)7845,ANA.CAN.001,ANA.CAN.001.004,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,,,1,1
117,UFT.2014(L)6515,ANA.CAN.001,ANA.CAN.001.005,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,,1,
118,UFT.2014(L)6545,ANA.CAN.001,ANA.CAN.001.005,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,,1,1
119,UFT.2014(L)6809,ANA.CAN.001,ANA.CAN.001.005,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,,,1,1
120,UFT.2014(L)6889,ANA.CAN.001,ANA.CAN.001.006,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
121,UFT.2014(L)6944,ANA.CAN.001,ANA.CAN.001.006,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
122,UFT.2014(L)7779,ANA.CAN.001,ANA.CAN.001.006,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
123,UFT.2014(L)7988,ANA.CAN.001,ANA.CAN.001.006,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
132,UFT.2014(L)7818,ANA.CAN.001,ANA.CAN.001.007,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
133,UFT.2014(L)7870,ANA.CAN.001,ANA.CAN.001.007,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,,,1,
134,UFT.2014(L)6716,ANA.CAN.001,ANA.CAN.001.008,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
135,UFT.2014(L)6717,ANA.CAN.001,ANA.CAN.001.008,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,,1,
136,UFT.2014(L)6723,ANA.CAN.001,ANA.CAN.001.008,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
137,UFT.2014(L)6888,ANA.CAN.001,ANA.CAN.001.008,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
138,UFT.2014(L)6890,ANA.CAN.001,ANA.CAN.001.008,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
139,UFT.2014(L)6893,ANA.CAN.001,ANA.CAN.001.008,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
140,UFT.2014(L)7052,ANA.CAN.001,ANA.CAN.001.008,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
141,UFT.2014(L)7862,ANA.CAN.001,ANA.CAN.001.008,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
142,UFT.2014(L)7865,ANA.CAN.001,ANA.CAN.001.008,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
143,UFT.2014(L)7031,ANA.CAN.001,ANA.CAN.001.009,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
144,UFT.2014(L)7842,ANA.CAN.001,ANA.CAN.001.009,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
157,UFT.2014(L)6577,ANA.CAN.001,ANA.CAN.001.010,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
158,UFT.2014(L)7769,ANA.CAN.001,ANA.CAN.001.011,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
159,UFT.2014(L)7776,ANA.CAN.001,ANA.CAN.001.011,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
160,UFT.2014(L)6800,ANA.CAN.001,ANA.CAN.001.012,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
170,UFT.2014(L)6576,ANA.CAN.001,ANA.CAN.001.013,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,,,1,1
171,UFT.2014(L)7766,ANA.CAN.001,ANA.CAN.001.013,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
172,UFT.2014(L)7782,ANA.CAN.001,ANA.CAN.001.014,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
173,UFT.2014(L)7946,ANA.CAN.001,ANA.CAN.001.014,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
174,UFT.2014(L)7959,ANA.CAN.001,ANA.CAN.001.014,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
181,UFT.2014(L)6575,ANA.CAN.001,ANA.CAN.001.015,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
182,UFT.2014(L)6725,ANA.CAN.001,ANA.CAN.001.016,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
183,UFT.2014(L)6881,ANA.CAN.001,ANA.CAN.001.016,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
184,UFT.2014(L)7835,ANA.CAN.001,ANA.CAN.001.016,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
185,UFT.2014(L)7836,ANA.CAN.001,ANA.CAN.001.016,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
186,UFT.2014(L)6978,ANA.CAN.001,ANA.CAN.001.017,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
204,UFT.2014(L)6594,ANA.CAN.001,ANA.CAN.001.018,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,,1,
205,UFT.2014(L)7846,ANA.CAN.001,ANA.CAN.001.018,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,,,1,
206,UFT.2014(L)7989,ANA.CAN.001,ANA.CAN.001.018,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
207,UFT.2014(L)7006,ANA.CAN.001,ANA.CAN.001.019,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
208,UFT.2014(L)7021,ANA.CAN.001,ANA.CAN.001.019,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,,1,1
223,UFT.2014(L)6582,ANA.CAN.001,ANA.CAN.001.020,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
224,UFT.2014(L)7844,ANA.CAN.001,ANA.CAN.001.020,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
225,UFT.2014(L)6795,ANA.CAN.001,ANA.CAN.001.021,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
226,UFT.2014(L)6887,ANA.CAN.001,ANA.CAN.001.021,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
227,UFT.2014(L)7053,ANA.CAN.001,ANA.CAN.001.021,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
228,UFT.2014(L)7765,ANA.CAN.001,ANA.CAN.001.021,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,
229,UFT.2014(L)7951,ANA.CAN.001,ANA.CAN.001.021,-9978136,-5004615,Pium,Centro de Pesquisa Canguçú (Pium-TO),2014-01-24,2014,Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,TO,1,1,1,1
